substation,Pvulnerability,sub_svi
752,0,0
956,0,0
1015,0,0
1105,0,0
286,0,0
275,0,0
296,0,0
948,0,0
256,0,0
1093,0,0
1129,0,0
968,0,0
1094,0,0
241,0,0
329,0,0
336,0,0
935,0,0
351,0,0
270,0,0
361,0,0
867,0,0
1110,0,0
98,0,0
1019,0,0.044133353
1028,0,0.0549
1023,0,0.0981
786,0,0.0993
1022,0.04675232,0.114157959
1018,0,0.119792551
1012,0.025983791,0.122508768
1106,0,0.131081484
1055,0,0.14154352
997,0.061482702,0.149810366
947,0.074072334,0.154787179
887,0,0.167676822
1009,0,0.169174723
1032,0,0.1709
1027,0.151461841,0.173147064
1090,0,0.177297317
1084,0,0.1834
792,0.377752554,0.187281862
978,0,0.1886
1030,0,0.1914
1010,0.162304914,0.192635804
1011,0,0.194603342
1013,0.486945962,0.200442623
1125,0.231302053,0.201077233
981,0,0.207329257
1058,0.139329058,0.210620536
1071,0.218684059,0.213246154
976,0,0.220238944
1122,0,0.226079649
1124,0,0.2277
1026,0.101220676,0.228555146
1102,0.03211359,0.22987074
1036,0.027869048,0.229954245
937,0.16201945,0.232547143
1120,0.5101229,0.236255032
1062,0,0.23888978
311,0.136558393,0.239258972
938,0.065275419,0.241804568
983,0,0.244533086
1113,0,0.2456
1135,0,0.245991478
1005,0.176084736,0.250721888
922,0,0.251229989
971,0,0.253904053
957,0.081646786,0.255320233
1057,0,0.257806352
995,0,0.258038774
1176,0.240356907,0.264619659
1088,0,0.266645179
1108,0,0.2684
926,1,0.2702
1004,0.128901482,0.270974625
733,0.057485467,0.272252291
1047,0,0.272733475
1086,0,0.277135721
1077,0.121100337,0.278586277
1134,0.036244654,0.285124423
823,0,0.29934876
827,0,0.301509276
991,0.324885993,0.30721685
1118,0.188200704,0.308580684
720,0,0.312170021
840,0.085568562,0.314682632
870,0.106003711,0.318485421
1002,0.210755814,0.321739546
1107,0.636971694,0.325240142
961,0.356215864,0.330830122
1128,0.160484419,0.334125741
1082,0,0.336760373
1059,0.226442532,0.339054525
994,0.0603396,0.339438638
960,0.35419696,0.344218414
898,0,0.344257401
1139,0.23536558,0.347418234
1014,0.269699967,0.351463051
1148,0.126150333,0.353657312
560,0.280863265,0.353677047
881,0.227371037,0.354576425
1146,0.093332439,0.356270636
772,0,0.359975374
749,0.10556809,0.366539227
1069,0.073945514,0.369937341
958,0,0.3725
300,0.091538679,0.372708223
933,0.030881159,0.373870304
722,0,0.376
1114,0,0.376001992
1142,0.069630598,0.37839909
941,0.198197243,0.379148978
964,0.030127011,0.380889687
828,0.614727786,0.383444813
940,0.196658484,0.383487705
1143,0.128670542,0.384293806
944,0,0.38484787
247,0.421381455,0.385223814
788,0,0.387397687
1100,0,0.3898
349,0.348622283,0.391162622
982,0.112853257,0.393133992
796,0.706017891,0.394924668
1016,0.156972812,0.398588729
934,0.309331486,0.405750555
966,0.479245373,0.40576866
324,0.10422976,0.406880204
1038,0.544745144,0.408840511
1000,0,0.4132
332,0.436128153,0.414993272
1001,0.31657152,0.424306498
1097,0.091008135,0.424960929
962,0.220734872,0.427835811
1136,0,0.436726435
1092,0.583980443,0.439061547
1079,0,0.4412
1144,0,0.4447
1123,0.439437809,0.446736319
358,0.28963009,0.448761936
980,0.367312924,0.449009823
970,0.69689116,0.449796891
321,0.217807704,0.451120342
984,0.355311486,0.453988525
1121,0.423404073,0.456444428
1239,0.350382021,0.456952864
775,0,0.457038233
1045,0.197016892,0.459431227
