Census,pop,power converted,actual power,census_lat,census_long,Socioeconomic,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,SVI,disadvantaged,d,Bus,Latitude,Longitude
48215024000,17093,41.07,54.31677746,26.32152084,-98.17514569,0.8185,0.3831,0.7772,0.9712,0.8786,1,1,4003,26.450369,-98.276935
48215024112,14304,34.37,45.45574973,26.40414951,-98.32386659,0.9969,0.714,0.996,0.5832,0.929,1,1,4003,26.450369,-98.276935
48215023503,8984,21.58,28.54044455,26.40126244,-98.19479119,0.9108,0.6447,0.9679,0.4255,0.8134,1,1,4003,26.450369,-98.276935
48479001817,6186,14.86,19.65296599,27.36525831,-99.48411293,0.9906,0.6083,0.9937,0.9714,0.9877,1,1,4003,26.450369,-98.276935
48427950101,1197,2.88,3.808919384,26.65609026,-98.61005048,0.8649,0.7094,0.9537,0.2716,0.7437,1,1,4003,26.450369,-98.276935
48215024301,1079,2.59,3.425382362,26.616503,-98.18873114,0.6862,0.2235,0.6735,0.1922,0.4508,1,1,4003,26.450369,-98.276935
48479001807,7889,18.95,25.06216053,27.43400151,-99.48618616,0.9384,0.7096,0.978,0.5417,0.8775,1,2,4003,26.450369,-98.276935
48215021701,10497,25.22,26.45701457,26.22741436,-98.18908586,0.6884,0.5612,0.8596,0.5904,0.7114,1,3,4007,26.215816,-98.239592
48215020726,7378,17.73,18.59963792,26.22838642,-98.26270687,0.7772,0.9092,0.9032,0.7357,0.8954,1,3,4007,26.215816,-98.239592
48215020802,7334,17.62,18.48424253,26.22935351,-98.23349725,0.734,0.6131,0.8225,0.5818,0.7283,1,3,4007,26.215816,-98.239592
48215021000,6618,15.9,16.67987833,26.20938649,-98.21792045,0.9656,0.9989,0.8751,0.9877,0.9994,1,3,4007,26.215816,-98.239592
48215020903,5549,13.33,13.98382253,26.22243669,-98.21166097,0.5912,0.5112,0.7555,0.4132,0.587,1,3,4007,26.215816,-98.239592
48215020901,5343,12.84,13.46978854,26.24491192,-98.20964669,0.2316,0.2978,0.6831,0.2229,0.2934,0,3,4007,26.215816,-98.239592
48215020723,5190,12.47,13.08164043,26.21248066,-98.24482589,0.9752,0.9025,0.9635,0.7729,0.9689,1,3,4007,26.215816,-98.239592
48215020904,4825,11.59,12.15847735,26.23258281,-98.21397878,0.5951,0.6118,0.7431,0.4464,0.6158,1,3,4007,26.215816,-98.239592
48215020725,4125,9.91,10.39607511,26.2258333,-98.24693653,0.9298,0.8812,0.8814,0.4491,0.8652,1,3,4007,26.215816,-98.239592
48215020724,4097,9.84,10.32264169,26.21464218,-98.26505667,0.4677,0.6058,0.8726,0.4763,0.6046,1,3,4007,26.215816,-98.239592
48215021201,3505,8.42,8.832992175,26.19501084,-98.21939611,0.6379,0.6457,0.8606,0.7092,0.7433,1,3,4007,26.215816,-98.239592
48479000107,3173,7.62,7.993753013,27.47743056,-99.4682996,0.9929,0.9255,0.9813,0.7821,0.9825,1,3,4007,26.215816,-98.239592
48215021100,2886,6.93,7.269909236,26.2006593,-98.23506771,0.8613,0.9904,0.9585,0.9883,0.9958,1,3,4007,26.215816,-98.239592
48215020600,2351,5.65,5.927126578,26.19866612,-98.24311665,0.9941,0.9314,0.9596,0.7405,0.9781,1,3,4007,26.215816,-98.239592
48215022900,4300,10.33,8.596862508,26.13946131,-97.93848566,0.8121,0.9856,0.8632,0.807,0.9457,1,4,4012,26.083177,-97.96214
48479000105,2571,6.18,5.143137492,27.49082079,-99.46748165,0.834,0.9337,0.9866,0.8573,0.9579,1,4,4012,26.083177,-97.96214
48215023801,10913,26.22,26.82387039,26.25854076,-98.14799555,0.9325,0.5972,0.9009,0.9651,0.9549,1,5,4013,26.280689,-98.183295
48215023904,9533,22.9,23.42740778,26.29886547,-98.19644031,0.4798,0.3653,0.7123,0.2741,0.4457,0,5,4013,26.280689,-98.183295
48215023802,9030,21.69,22.18954038,26.28194805,-98.14289543,0.7154,0.6859,0.8386,0.8137,0.8218,0,5,4013,26.280689,-98.183295
